company_name,company_corp_ticker,bloomberg_id,fin_sector_override
ARCELORMITTAL,MTNA,225547,Steel
BAOSHAN IRON &-A,SBSG,905682,Steel
NSSMC,NIPSTL,114402,Steel
POSCO,POHANG,129309,Steel
HYUNDAI STEEL,INCIRO,117635,Steel
ANSTEEL GROUP CO,ANGANG,24183116,Steel
VOESTALPINE AG,VOEAV,176620,Steel
TATA STEEL LTD,TATAIN,154561,Steel
NUCOR CORP,NUE,101097,Steel
TAIYUAN IRON &,TAIYUA,7308630,Steel
JFE HOLDINGS INC,JFEHLD,7847241,Steel
HESTEEL CO LTD-A,TSSTEE,209748,Steel
NIPPON & SUMIKIN,NPSUMI,114452,Steel
MET GERDAU-PREF,GOAUBZ,158890,Steel
GERDAU-PREF,GGBRBZ,158720,Steel
ANSHAN IRON & ST,ANGANG,825047,Steel
HUNAN VALIN ST-A,VALINS,852140,Steel
MAANSHAN IRON-A,MAANSH,126204,Steel
THYSSENKRUPP AG,TKAGR,815253,Steel
TERNIUM SA-ADR,TX,10106947,Steel
NOVOLIPETSK STEE,NLMKRU,162517,Steel
EVRAZ,EVRAZ,28252126,Steel
CHINA STEEL CORP,CHISTL,115831,Steel
JSW STEEL LTD,JSTLIN,170120,Steel
HITACHI METALS,HITMET,113708,Steel
JIUQUAN IRON & S,JQIRON,10830028,Steel
SALZGITTER AG,SZGGR,118390,Steel
INNER MONGOLIA-A,INNMON,7243936,Steel
SSAB-A,SSABAS,118008,Steel
WUHAN IRON & STE,WUGANG,7908603,Steel
STEEL DYNAMICS,STLD,194694,Steel
XINYU IRON & S-A,XYIRON,193976,Steel
STEEL AUTHORITY,SAILIN,174388,Steel
SEVERSTAL,CHMFRU,169726,Steel
BLUESCOPE STEEL,BSLAU,7738397,Steel
AK STEEL HLDG,AKS,136749,Steel
KOBE STEEL LTD,KOBSTL,113991,Steel
ACERINOX,ACXSM,127005,Steel
DONGKUK STEEL,DONKSM,117450,Steel
KUNMING IRON & S,KMIRON,17472361,Steel
EREGLI,EREGLT,154565,Steel
NANJING IRON-A,NISCH,1459344,Steel
NISSHIN STEEL CO,NISSTL,32548875,Steel
METALLOINVEST HO,METINR,12437901,Steel
BAOTOU IRON AND,INNMON,8254983,Steel
CHINA ORIENTAL,CHOGRP,8646707,Steel
XINXING DUCTIL-A,XINDUC,223164,Steel
A.C.N. 004 410 8,ARIAU,1480332,Steel
USIMINAS-PREF A,USIM,154419,Steel
SID NACIONAL,CSNABZ,158272,Steel
KNAFAIM HOLDINGS,KNFMIT,,Aviation
COMAIR LTD,COMSJ,,Aviation
CHINA SOUTHERN A,CHISOU,,Aviation
SPICEJET LTD,SJETIN,,Aviation
JETBLUE AIRWAYS,JBLU,,Aviation
EASYJET PLC,EZJLN,,Aviation
SAS AB,SASSS,,Aviation
VIRGIN AUSTRALIA,VAHAU,,Aviation
VIETNAM AIRLINES,VIEAIR,,Aviation
WESTJET AIRLINES,WJACN,,Aviation
VIRGIN ATLANTIC,VIRGHL,,Aviation
SICHUAN AIRLINES,SCALCO,,Aviation
HAWAIIAN HOLDING,HA,,Aviation
SPIRIT AIRLINES,SAVE,,Aviation
TRANSAT A.T.,TRZBCN,,Aviation
ALLEGIANT TRAVEL,ALGT,,Aviation
PEGASUS,PEGHAV,,Aviation
REPUBLIC AIRWAYS,RJET,,Aviation
CONTROLADORA V-A,AVIAMX,,Aviation
AEGEAN AIRLINES,AEGNGA,,Aviation
CHORUS AVIATION,CHRBCN,,Aviation
FLYBE GROUP,FLYBLN,,Aviation
CROATIA AIRLINES,CRALRA,,Aviation
GREAT LAKES AVIA,GLUX,,Aviation
STAR FLYER INC,STAFLY,,Aviation
JEJUAIR CO LTD,AEKPET,,Aviation
TIANJIN AIRLINES,TIAAIR,,Aviation
SOUTHWEST AIR,LUV,,Aviation
SPRING AIRLINE-A,SPAIRL,,Aviation
CHINA EASTERN AI,CEAIRL,,Aviation
ALASKA AIR GROUP,ALK,,Aviation
DELTA AIR LI,DAL,,Aviation
AMERICAN AIRLINE,AAL,,Aviation
AMER AIRLINES,AAL,,Aviation
UNITED CONTINENT,UAL,,Aviation
SHANDONG AIRLI-B,SHDAIR,,Aviation
AIR CANADA,ACACN,,Aviation
AEROFLOT,AFLTRU,,Aviation
NORWEGIAN AIR SH,NASNO,,Aviation
T WAY HOLDING IN,KEOPYU,,Aviation
INTL CONS AIRLIN,IAGLN,,Aviation
LATAM AIRLINES,LTMCI,,Aviation
CHINA AIRLINES,CHIAIR,,Aviation
HAINAN AIRLINE-B,HAIAIR,,Aviation
TRANSAERO,TRNSRU,,Aviation
QANTAS AIRWAYS,QANAU,,Aviation
AIR BERLIN PLC,AIRBR,,Aviation
JET AIRWAYS IND,JETIN,,Aviation
GOL-PREF,GOLLBZ,,Aviation
AIR ARABIA PJSC,AIRARA,,Aviation
TAP SGPS,TAPTRA,,Aviation
CEBU AIR INC,CEBPM,,Aviation
GPO AEROMEXICO,AEROMX,,Aviation
AIR FRANCE-KLM,AFFP,,Aviation
CHINA SOUTHERN-H,CHISOU,,Aviation
ROYAL JORDANIAN,RJALJR,,Aviation
KOREAN AIR LINES,KOREAN,,Aviation
ASIANA AIRLINES,ASIAIR,,Aviation
AIR CHINA LTD-A,AIRCHI,,Aviation
KENYA AIRWAYS,KENAIR,,Aviation
EL AL ISRAEL AIR,ELALIS,,Aviation
THY,THYAO,,Aviation
DART GROUP PLC,DTGLN,,Aviation
AIR NEW ZEALAND,AIRNZ,,Aviation
CHINA EAST AIR-H,CHIEAS,,Aviation
TRANSASIA AIRWAY,TRAAIR,,Aviation
PAL HOLDINGS INC,PALPM,,Aviation
EMIRATES,EMIRAT,,Aviation
FINNAIR OYJ,FOY,,Aviation
THAI AIRWAYS INT,THAITG,,Aviation
SINGAPORE AIRLIN,SIASP,,Aviation
GARUDA INDONESIA,GARUDA,,Aviation
PAKISTAN INTERNA,PIAAPA,,Aviation
AVIANCA HOLDINGS,PFAVH,,Aviation
EXCHANGE INCOME,EIFCN,,Aviation
AIR ASTANA JSC,AIRAST,,Aviation
INDONESIA TRANSP,IATAIJ,,Aviation
ALLIANCE AVIATIO,ALLAVI,,Aviation
HANJIN KAL CORP,KANKAL,,Aviation
SRILANKAN AIR,SRAILT,,Aviation
EVA AIRWAYS,EVAAIR,,Aviation
RYANAIR HLDGS,RYAID,,Aviation
DEUTSCHE LUFT-RG,LHAGR,,Aviation
CATHAY PAC AIR,CATHAY,,Aviation
ORIAN SHM LTD,ORINIT,,Aviation
UTAIR,UTARRM,,Aviation
JAPAN AIRLINES C,JPNAIR,,Aviation
ANA HOLDINGS INC,ANAIR,,Aviation
HNA GROUP CO LTD,SANYPH,,Aviation
SHENZHEN AIRLINE,AIRCHI,,Aviation
TRANS WORLD AIRL,TWAIQ,,Aviation
UTAIR-FINANS OOO,TMATRU,,Aviation
CHINA NATIONAL A,NAAVIA,,Aviation
HEATHROW AIRPORT,HTHROW,,Aviation
FAR EASTERN AIR,FARAIR,,Aviation
GULFSTREAM INTER,GIA,,Aviation
UNITED AIR LINES,UAL,,Aviation
EASYJET AIRLINE,EZJLN,,Aviation
,IEP,,Oil&Gas
,MXCN,,Oil&Gas
,POTCN,,Oil&Gas
,BHP,,Coal
,SASOL,,Coal
,ADGB,,Oil&Gas
,TAQAUH,,Oil&Gas
,GABON,,Oil&Gas
,BTGPBZ,,Oil&Gas
,CAPXAR,,OIl&Gas
,PKSTAN,,Oil&Gas
,VOTORA,,Steel
,GE,,Power
,PH,,Aviation
,CNX,,Coal
,ESVUFB,7688879,Power
,EEPPME,,Other
,,333043,Other
,,20778904,Other
,MOLYME,163446,Other
,ODINSA,7733451,Other
,TERPCO,11031491,Oil&Gas
,ARGOS,,Cement&Steel
,,7564844,Power
,ENFP,115256,Other
,ARMLKN,,Cement&Steel
