Investor.Name,Portfolio.Name,Scenario,Allocation,ScenarioGeography,Sector,Technology,Asset.Type,Year,Scen.Alloc.WtTechProd,Plan.Alloc.WtTechProd,Trajectory.Alignment,Trajectory.Deviation
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,Electric,Bonds,2019,3327.76888589314,3327.76888589314,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2019,7810.34414567096,7810.34414567096,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,ICE,Bonds,2019,320085.699703955,320085.699703955,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Coal,Coal,Bonds,2019,486471.228761344,486471.228761344,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2019,208683.148894921,208683.148894921,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2019,197009.197127662,197009.197127662,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,Electric,Bonds,2020,15938.4374767296,5991.01395612438,-0.624115352281465,-0.624115352281465
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,Hybrid,Bonds,2020,22691.8583157071,9746.77590752861,-0.570472555754415,-0.570472555754415
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,ICE,Bonds,2020,260495.146023586,319355.663427524,-0.225956292477741,0.225956292477741
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Coal,Coal,Bonds,2020,455370.478471165,491318.245747317,-0.0789418044771845,0.0789418044771845
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2020,209305.312336428,217934.807510847,-0.0412292219346484,0.0412292219346484
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2020,192268.166441204,204076.761283603,-0.061417316558275,0.061417316558275
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Automotive,Electric,Bonds,2021,18676.49849185,10265.2955863595,-0.45036294727092,-0.45036294727092
